"surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"SPIN",4086.36860897432,4086.80339158301,7.89251589484776e-05,103.297,0.0131130768974709,-2039.18430448716,0.351519548411305,0,0,4
"DEM.FF",4086.57429032171,4087.832717288,2.76594209663289e-05,103.347,0.0535075322393755,-2036.28714516086,0.351587347124281,0,0,7
"FF.SPIN.WAT",4086.4322239152,4088.99036345008,3.66227507069323e-05,103.416,0.036922333506427,-2033.2161119576,0.351272648184252,0,0,10
"FF.Silt.SPIN",4086.2737531373,4088.83189267218,5.07055992374208e-06,103.646,0.0215898424703768,-2033.13687656865,0.351064108749259,0,0,10
"FF.SPIN",4086.84245025967,4088.10087722597,8.59494848184913e-05,104.082,0.0428873929572603,-2036.42122512984,0.351617545827094,0,0,7
"DEM",4086.84003207815,4087.27481468685,8.61011788179884e-05,104.549,0.0114261558590708,-2039.42001603908,0.351608489244,0,0,4
"DEM.SPIN.WAT",4086.57812318111,4089.13626271599,3.28334593173388e-05,105.179,0.0360369110019553,-2033.28906159055,0.351276377879424,0,0,10
"Silt.SPIN.VRM.WAT",4086.77502513439,4091.16056730307,9.12221941407291e-08,109.933,0.0251959242917884,-2030.3875125672,0.350786079501233,0,0,13
"FF.WII",4088.12805414195,4089.38648110824,5.47471639269648e-05,110.84,0.0432329230231342,-2037.06402707097,0.351674807702924,0,0,7
"DEM.Silt.SPIN.WII",4088.00656090519,4092.39210307386,4.55761090508329e-07,112.71,0.0305646924402472,-2031.00328045259,0.350894503506748,0,0,13
"Silt.SPIN.WAT.WII",4088.16368693195,4092.54922910062,4.22455224214147e-07,114.558,0.0292494433428182,-2031.08184346597,0.350902411862994,0,0,13
"FF.SOMO31.WII",4088.94320412449,4091.50134365937,6.50633151652177e-07,115.247,0.0478712899599575,-2034.47160206225,0.351198340110906,0,0,10
"FF.Silt.SPIN.WII",4088.43809421552,4092.8236363842,3.75494385503134e-07,115.274,0.0327729336689689,-2031.21904710776,0.350911637924717,0,0,13
"FF.SOMO31.SPIN",4088.94343586949,4091.50157540437,6.50468448809532e-07,115.489,0.0478850482094716,-2034.47171793474,0.351198308795347,0,0,10
"DEM.FF.Silt.SPIN",4088.43591908532,4092.82146125399,3.64044756749493e-07,116.611,0.027735314475779,-2031.21795954266,0.350916050026145,0,0,13
"SOMO31.SPIN.WAT",4088.95494702839,4091.51308656327,6.98036036705873e-07,116.732,0.041779831258428,-2034.47747351419,0.35121591861408,0,0,10
"DEM.SOMO31.WII",4088.95980238152,4091.5179419164,6.46683329828635e-07,116.941,0.0477958322511985,-2034.47990119076,0.351199073137392,0,0,10
"DEM.FF.WAT",4089.21711625679,4091.77525579168,1.38486680088291e-05,117.485,0.0375904395962182,-2034.6085581284,0.351476677462744,0,0,10
"SOMO31.SPIN.WII",4088.9602121843,4091.51835171919,6.46393112744176e-07,117.732,0.047820078153441,-2034.48010609215,0.351199017948337,0,0,10
"FF.SOMO31.WAT",4089.11429623015,4091.67243576503,6.97028486649168e-07,118.016,0.0364581936974383,-2034.55714811507,0.35123537637583,0,0,10
"DEM.SOMO31.SPIN",4088.96020912757,4091.51834866245,6.46540855385036e-07,118.018,0.0477967539693579,-2034.48010456378,0.351199082610809,0,0,10
"Silt.SOMO31.SPIN",4089.05160946752,4091.6097490024,5.4894282897215e-07,118.029,0.0549239315152443,-2034.52580473376,0.351173598063832,0,0,10
"DEM.SOMO31.WAT",4089.20987850337,4091.76801803825,6.20166120454224e-07,119.3,0.0391214822174598,-2034.60493925168,0.351227531023702,0,0,10
"DEM.FF.Silt.SOMO31",4089.22917554602,4093.6147177147,2.59756239590295e-07,119.944,0.0412011152253911,-2031.61458777301,0.350928478455756,0,0,13
"SOMO31.WAT.WII",4089.02064232074,4091.57878185563,6.2702279609151e-07,120.004,0.0477336394561462,-2034.51032116037,0.351201049637052,0,0,10
"FF.Silt.WAT.WII",4089.13449208535,4093.52003425403,3.01380100161126e-07,120.598,0.03418704710279,-2031.56724604268,0.350906617366666,0,0,13
