id,pop,lat,lon,date,year,sex,species,spp_code,WAM_ID,IBRA_SubRegion,UTMX,UTMY,CoordLocation,Buffer_5km
DEC02379,Wodgina 7,-21.0717,118.6797,26/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61820,Chichester,674504.3848,7668997.249,138,70
DEC02380,Wodgina 6,-21.2797,118.6989,25/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61823,Chichester,676252.7865,7645948.155,139,50
DEC02381,Wodgina 5,-21.0628,118.9111,23/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61831,Chichester,698562.6525,7669711.648,140,69
DEC02383,Wodgina 4,-21.0953,118.8864,22/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61837,Chichester,695953.009,7666143.88,141,69
DEC02385,Wodgina 3,-21.1281,118.6894,22/9/2005,2005,M,Ningaui timealeyi,Nt,WAM_M61841,Chichester,675446.0394,7662742.551,142,70
DEC02386,Wodgina 3,-21.1281,118.6894,22/9/2005,2005,F,Ningaui timealeyi,Nt,WAM_M61842,Chichester,675446.0394,7662742.551,142,70
DEC02390,Paraburdoo 5,-23.3397,117.8011,1/6/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64793,Hamersley,581892.9169,7418647.909,143,3
DEC02392,Marble Bar 3,-21.2878,119.6756,10/10/2005,2005,NA,Ningaui timealeyi,Nt,WAM_M56666,Chichester,777610.2098,7643645.739,144,52
DEC02393,Wodgina 4,-21.0953,118.8864,13/5/2006,2006,F,Ningaui timealeyi,Nt,WAM_M64663,Chichester,695953.009,7666143.88,141,69
DEC02394,Wodgina 2,-21.1147,118.8517,13/5/2006,2006,M,Ningaui timealeyi,Nt,WAM_M64669,Chichester,692322.538,7664038.313,145,69
